City,Country,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
qaanaaq,gl,77.48,-69.36,46.01,44,0,2.53
bredasdorp,za,-34.53,20.04,62.47,59,67,14.99
kasongo-lunda,cd,-6.48,16.82,72.47,53,26,1.39
solnechnyy,ru,50.72,136.64,64.19,91,75,0.81
albany,au,-35.02,117.88,53.6,100,75,8.05
port elizabeth,za,-33.92,25.57,55.4,82,0,3.36
vaini,to,-21.2,-175.2,66.2,100,40,3.36
hurricane,us,37.18,-113.29,94.15,8,1,19.46
ushuaia,ar,-54.81,-68.31,41.79,35,75,13.87
prince rupert,ca,54.32,-130.32,55.4,100,90,10.29
arraial do cabo,br,-22.97,-42.02,69.8,68,40,9.17
keti bandar,pk,24.14,67.45,83.09,81,100,14.29
hermanus,za,-34.42,19.24,58.77,74,0,1.01
lebu,cl,-37.62,-73.65,53.39,76,24,14.94
guerrero negro,mx,27.97,-114.04,67.97,86,0,12.48
chacabuco,ar,-34.64,-60.47,56.63,71,94,11.59
great yarmouth,gb,52.61,1.73,66.94,60,0,10.29
souillac,mu,-20.52,57.52,69.39,77,75,12.75
barreiras,br,-12.14,-45,77.51,26,0,1.03
leh,in,34.16,77.58,39.53,36,0,0.72
ostrovnoy,ru,68.05,39.51,45.29,83,1,8.52
almaznyy,ru,48.03,40.04,68,72,0,4.47
rila,bg,42.13,23.13,55.9,46,40,3.36
san cristobal,ec,-1.02,-79.44,81.11,68,86,4.59
saint-philippe,re,-21.36,55.77,64.2,64,20,21.92
hobart,au,-42.88,147.33,44.4,70,40,6.93
carnarvon,au,-24.87,113.63,50,100,0,5.82
narsaq,gl,60.91,-46.05,57.2,67,75,6.93
kapaa,us,22.08,-159.32,81.91,69,90,4.7
cape town,za,-33.93,18.42,58.84,72,75,16.11
georgetown,sh,-7.93,-14.42,74.63,73,100,16.93
provideniya,ru,64.42,-173.23,55.4,76,75,8.95
rikitea,pf,-23.12,-134.97,71.75,72,10,22.3
atuona,pf,-9.8,-139.03,80.03,72,0,14.63
dikson,ru,73.51,80.55,44.75,67,0,10.09
san isidro,ph,11.41,124.35,84.17,71,74,17.63
east london,za,-33.02,27.91,56.63,61,0,2.24
te anau,nz,-45.41,167.72,39.17,86,100,5.77
vardo,no,70.37,31.11,45.07,75,75,13.87
road town,vg,18.42,-64.62,83.73,74,40,8.05
teyateyaneng,ls,-29.15,27.74,40.61,64,0,2.89
port lincoln,au,-34.72,135.86,56.81,74,100,20.94
hithadhoo,mv,-0.6,73.08,83.09,67,69,8.32
kaitangata,nz,-46.28,169.85,37,73,39,4
talnakh,ru,69.49,88.39,60.8,72,0,15.66
tasiilaq,gl,65.61,-37.64,50,76,75,8.05
paamiut,gl,61.99,-49.67,42.23,96,100,23
hasaki,jp,35.73,140.83,68.49,100,75,3.36
fort smith,us,35.39,-94.42,92.79,46,1,16.11
new norfolk,au,-42.78,147.06,44.4,70,40,6.93
stepnyak,kz,52.83,70.79,56.99,88,24,4.99
bathsheba,bb,13.22,-59.52,86,70,75,17.22
kavieng,pg,-2.57,150.8,82.73,74,63,11.86
punta arenas,cl,-53.16,-70.91,39.76,69,40,12.75
fonte boa,br,-2.51,-66.09,83.99,68,9,4.72
constitucion,mx,23.99,-104.67,78.62,31,40,5.82
lagoa,pt,37.14,-8.45,80.6,51,0,10.29
bandarbeyla,so,9.49,50.81,82.01,50,0,25.48
sao joao da barra,br,-21.64,-41.05,71.51,60,20,16.11
cherskiy,ru,68.75,161.3,44.75,56,11,8.63
